,Event URL,Name,Description,Start Date,End Date,Location
0,https://www.eventshigh.com/detail/Delhi/41d8ae86df50dd84f310241086f025b0-chadar-trek-the-frozen-zanskar?src=stream-home,Chadar Trek - The frozen Zanskar River,"CHADAR TREK   
  Frozen River trek with the most experienced team from Zanskar Village and Mumbai's trek heads ""Mischief Treks""  
   
  Category  : Hiking 
 
  Terrain Grade:  Medium 
  Weather Conditions:  Challenging 
  Average Temperature:",2020-01-14T08:00:00+05:30,2020-01-20T08:00:00+05:30,"CHADAR TREK,Outside Delhi"
1,https://www.eventshigh.com/detail/Bangalore/0679be9ef2516cde919f9e579808c32a-forum-colorama-2019-forum-shantiniketan?src=stream-home,Forum Colorama 2019 - Forum Shantiniketan,"'A pen is mightier than the sword', they said! Well, it's time to inculcate a startling thought into the minds of these little geniuses with colorful crayons instead of pens! 
 Sustainability is a term we hear quite often, but what does it mean?  Simply put, sustainability is",2019-11-24T12:00:00+05:30,2019-11-24T18:00:00+05:30,"The Forum Shantiniketan Mall,Whitefield Main Road, Hoodi, Thigalarapalya, Krishnarajapura, Bengaluru, Karnataka 560067"
2,https://www.eventshigh.com/detail/Bangalore/3c8a48b7f4686b3506683a1d14eea54b-rcr-and-dr-a-live?src=stream-home,RCR and DR. A Live at XU,"MTV #HipHopHustle fame rapper RCR performs 'LIVE' alongside Dr A at the iconic #XU, located at Leela Palace. Concert in the making. #BollywoodNIght. #Saturday. 23rd November. #bethere.   About the Artist:  Rohit Kumar Chaudhary aka RCR is an Indian singer and rapper from Amritsar (Punjab).  He rose",2019-11-23T20:00:00+05:30,2019-11-24T01:00:00+05:30,"XU,23, Level C, The Leela Palace, Kodihalli, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008"
3,https://www.eventshigh.com/detail/Bangalore/69dc30f03e1c52aa0fd53c1ec3f7c9df-the-science-behind-data-visualization?src=stream-home,The Science Behind Data Visualization &  Visual Storytelling  - With Manjunath Subramanian,"The Art of showing data in a visual context & applying the presentation science to show it in the right format is Data Visualization.  
 
  In this day and age of data, the ability to craft a compelling story using data is a critical skill that every",2019-11-17T17:00:00+05:30,2019-11-17T19:00:00+05:30,"Institute Of Product Leadership,No.1, KDP Building, 3rd Floor, Kira Layout Dharmaram College Post, Opp. to Forum Mall,Hosur Main Road Chikku Lakshmaiah Layout, Adugodi Bengaluru, Karnataka 560029"
4,https://www.eventshigh.com/detail/Bangalore/99d2be1da1836fbf49a3808db0dcc08e-understand-any-business-in-less?src=stream-home,Understand  any business in less than 15 minutes by reading financial statements,"In today's business world, we all need basic finance knowledge is must to make business decisions for new sales, a new job or any new association. By attending the masterclass, you will be equipped with concepts, tools, and techniques that will help you to -  
   KEY",2019-11-23T16:30:00+05:30,2019-11-23T18:30:00+05:30,"CMRIT,132 AECS Layout,Kundalahalli ITPL Main Rd Bengaluru, Karnataka 560037"
5,https://www.eventshigh.com/detail/Bangalore/00fc6567ac0c0f7ffecf0c698edb297a-kanva-adventures-night-camping?src=stream-home,Kanva Adventures & Night Camping,"Welcome to Weekend Adventure Camp, Presented by Namma Trip, a beautiful camping event beside Kanva Back Water on this weekend with adventure activities. Enjoy the final beautiful and emotional SUNSET on the bank of Kanva Dam Back Waters with your loved and dear ones in your own private setting",2019-11-11T17:00:00+05:30,2019-11-12T11:30:00+05:30,"Kanva Reservoir, SH 94, Ramanagara, Karnataka 562161, India,Kanva Adventure camp"
6,https://www.eventshigh.com/detail/Bangalore/c623afd8d7bcb4ea09d7982896f7dfb1-basics-to-fondant-eggless?src=stream-home,Basics To Fondant (eggless),"Skill level: Beginner 
 Always intrigued by fondant, but too scared to use the material? Join us as we walk you through the usage of fondant and how to get that neat finish to your cakes. 
 We will help you through the entire process and the best part",2019-11-11T15:00:00+05:30,2019-12-12T18:00:00+05:30,"Flourish, School Of Baking  Cake Decor,123-125, Brigade Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India"
7,https://www.eventshigh.com/detail/Bangalore/f60fb8e7c04bee08139224a453004fd8-write-out-loud-190?src=stream-home,Write Out Loud 190,"Lahe Lahe brings to you an evening of soul on paper.   
 
 
     
 
 
  Every Tuesday we're bringing to you a heart-plucking session of poetry and good company.  
 
 
   ",2019-11-19T19:30:00+05:30,2019-11-19T21:30:00+05:30,"Lahe Lahe,Lahe Lahe, 2906 & 2907, 80 Feet Rd, Kodihalli, HAL II Stage, Indiranagar, Near Golden Daffodils, Bengaluru, Karnataka 560038"
8,https://www.eventshigh.com/detail/bangalore/f962cf84a4956575f90f31cce698315f-kodachadri-trek-with-jeep-ride?src=ecbox,Kodachadri Trek with Jeep Ride & Malpe Beach | By Muddie Trails,"Haelo Travelers!  Let's hike up the amazing landscapes of Kodachadri. Come, quench your wanderlust by joining Muddie Trails  ®  on this exciting journey to one of the most beautiful place you can ever trek to!  The hike, though it's awesome, will take it's toll on your",2019-11-22T21:00:00+05:30,2019-11-25T05:00:00+05:30,"Kodachadri,Outside Bangalore"
9,https://www.eventshigh.com/detail/bangalore/3991af3a4bcf225b340e3671a3060d94-gokarna-chill-at-private-beaches?src=ecbox,"Gokarna Chill at Private Beaches, Camping, Stargazing, Waterfalls, Caves","Upcoming Trips:  
 
 
 
  Date  
  Price  
 
 
 Every weekend from  September 2019 to January 2020  
 3950/- (Incl. GST) 
 
 
 
 
 The Sun-Kissed Beaches are back! One usually parties at the beaches, right? But",2019-11-15T21:00:00+05:30,2019-11-18T06:00:00+05:30,"Gokarna Private Beaches,Gokarna, Karnataka 581326, India"
